family,genus,species,country,region,district,place,coordinates,height,ecology,collected,collectedby,identified,identifiedby,note,itemcode,gcode
HEMIONITIDACEAE Pichi Sermolli,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Приморский край,","Красноармейский район,","окр. пос. Рощино,",0 0 0 0 0 0,,смешанный лес.,3 августа 1984 г.,Храпко О.В. ,,,,305,74
HEMIONITIDACEAE Pichi Sermolli,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Приморский край,","Красноармейский р-н,","окр. пос. Рощино,",0 0 0 0 0 0,,смешанный лес.,3 августа 1984 г.,Храпко О.В. ,,,,336,74
HEMIONITIDACEAE Pichi Sermolli,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Приморский край,","Хасанский район,","Голубиный утёс, ",0 0 0 0 0 0,,крутой мористый склон.,28 мая 1968 г.,Селедец В.П. ,,,,306,74
HEMIONITIDACEAE Pichi Sermolli,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Приморский край,","Хасанский район,","Голубиный утёс, ",0 0 0 0 0 0,,крутой мористый склон.,28 мая 1968 г.,Селедец В.П. ,,,,337,74
Hemionitidaceae Pichi,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Приморский край,","Шкотовский р-н,","хребет Воробей, подножие сопки у ручья,",,,смешанный лес.,18 сентября 1971 г.,Верхолат В.П.,,,,111794,74
Hemionitidaceae Pichi,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Приморский край,","Супутинский заповедник,","Миронов ключ, верховье ключа,",,,ельник.,15 июля 1973 г.,"Верхолат В.П., Рязанцева Н., Калиниченко В.",,,,111803,74
Hemionitidaceae Pichi,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Амурская обл.,",правый берег Зеи у г. Зеи.,,,,,25 августа 1967 г.,Баранов В.,,,,111850,74
Hemionitidaceae Pichi,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Хабаровский край,","бассейн р. Хор, ","долина р. Ко, 130 км выше устья.",,,,27 августа 1965 г.,"Горовой, Павлова, Левченко, Панков",,,,111793,74
Hemionitidaceae Pichi,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Сахалинская обл.,","г. Холмск,"," с. Платоново,",,,у русла горного ключа.,26 июня 1965 г.,Левченко,,,,111738,74
Hemionitidaceae Pichi,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Сахалинская обл.,","о-в Кунашир,",вдоль тропы на горячие ванночки с 17 км трассы.,,,,23 августа 1975 г.,"Верхолат В.П., Ворошилова Г.И., Кривенко Н.",,,,111643,74
HEMIONITIDACEAE Pichi Sermolli,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Сахалинская обл.,","о. Сахалин, ","южный окр. г. Невельск,",0 0 0 0 0 0,,смешанный лес.,11 августа 1986 г.,Недолужко В.А. ,,,,307,74
HEMIONITIDACEAE Pichi Sermolli,Coniogramme Fée,Coniogramme intermedia Hieron.,Россия,"Сахалинская обл.,","о. Сахалин, ","южный окр. г. Невельск,",0 0 0 0 0 0,,смешанный лес.,11 августа 1986 г.,Недолужко В.А. ,,,,338,74
